why is love intensified by absence? | love, yearning
people aren't either wicked or noble. they're like chef's salads, with good things and bad things chopped and mixed together in a vinaigrette of confusion and conflict. | life
after all, my erstwhile dear,my no longer cherished,need we say it was not love,just because it perished? | love, poetry
poor fellow! i think he is in love with you.'i am not aware of it. and to me it is one of the most odious things in a girl's life, that there must always be some supposition of falling in love coming between her and any man who is kind to her... i have no ground for the nonsensical vanity of fancying everybody who comes near me is in love with me. | love, romance
she was my dream. she made me who i am, and holding her in my arms was more natural to me than my own heartbeat. i think about her all the time. even now, when i'm sitting here, i think about her. there could never have been another. | love
the unqualified truth is, that when i loved estella with the love of a man, i loved her simply because i found her irresistible. once for all; i knew to my sorrow, often and often, if not always, that i loved her against reason, against promise, against peace, against hope, against happiness, against all discouragement that could be. once for all; i love her none the less because i knew it, and it had no more influence in restraining me, than if i had devoutly believed her to be human perfection . | blind, great-writers, love, truth
what we all want, really, is to be loved. that craving drives our worst behavior. | craving, desires, love, wants
love demands expression. it will not stay still, stay silent, be good, be modest, be seen and not heard, no. it will break out in tongues of praise, the high note that smashes the glass and spills the liquid. | love
better to put your heart on the line, risk everything, and walk away with nothing than play it safe. love is a lot of things, but “safe” isn’t one of them. | chances, dating, heart, love, playing-it-safe, positive-thinking, relationships, risk, taking-a-chance, taking-a-risk, the-single-woman
the reason it hurts so much to separate is because our souls are connected. maybe they always have been and will be. maybe we've lived a thousand lives before this one and in each of them we've found each other. and maybe each time, we've been forced apart for the same reasons. that means that this goodbye is both a goodbye for the past ten thousand years and a prelude to what will come. | goodbye, inspiration, love
this is how the girl who couldn't speak and the man who couldn't see fell in love. | blind, love, see, speak
the best love in the world, is the love of a man. the love of a man who came from your womb, the love of your son! i don't have a daughter, but maybe the love of a daughter is the best, too. i am first and foremost me, but right after that, i am a mother. the best thing that i can ever be, is me. but the best gift that i will ever have, is being a mother. | inspirational, inspirational-quotes, inspiring, love, mother, motherhood, mothers, mothers-and-sons, real-love, sons-and-mothers, the-best-gift, the-greatest-gift, the-love-of-a-son, true-love
"anne laughed.""i don't want sunbursts or marble halls, i just want you. | love"
you’re in my every breath and every thought, intertwined so deep inside me that love’s not a strong enough word—you have my devotion, your name branded on my soul, my wolf yours to command. a hundred years? it’ll never be enough. i want eternity. | eternity, kiss-of-snow, love, nalini-singh
you'll have a good, secure life when being alive means more to you than security, love more than money, your freedom more than public or partisan opinion, when the mood of beethoven's or bach's music becomes the mood of your whole life … when your thinking is in harmony, and no longer in conflict, with your feelings … when you let yourself be guided by the thoughts of great sages and no longer by the crimes of great warriors … when you pay the men and women who teach your children better than the politicians; when truths inspire you and empty formulas repel you; when you communicate with your fellow workers in foreign countries directly, and no longer through diplomats... | bach, beethoven, diplomats, freedom, life, love, money, opinion, politicians, security, teachers, workers
we are who we are, be­cause of those we choose to love and be­cause of those who love us. | love
before i fellin love with words,with setting skies and singing birds—it was you i fellin love with first. | love, romance
things change. and friends leave. life doesn't stop for anybody. | change, life
love doesn't give you very many choices. when you love someone, you just want to be with them. if they break your heart, you will still love them. because hearts are easy to break, and though love is tender and sometimes fragile, love isn't. love sort of envelops you. it covers you like a giant shadow, then pulls you in like a blanket. you are so warm. the feeling surrounds you, and no matter how you feel, it is always there. you can't escape it. but you wouldn't want to. you are so, so safe. you can't remember the last time you were this happy. were you ever? this happy? every second you are apart feels like hours. sometimes, right before you fall asleep, you miss them so much it hurts. you ache for them. their warmth. their touch. their smell. you need them. when you can't sleep you wish and wish and wish that they would wake up and talk to you. when you dream of them, you wake up smiling. when pain stabs into you, you reach out for them. you cry to them, begging them to hold you and make it all go away, make everything go away. love addicts you to its feeling. you never, ever want to lose that feeling. sometimes the fear of losing love drives people to do crazy things. like buy a plane ticket. make a phone call. run out of a class. cry. write. laugh.because when you love someone, you really love them. you give them your whole heart. you trust them. you never want to be away from them. sometimes, you don't even need their words. you just need them there.love is such an amazing thing, and too many people take it for granted. if you're in love, don't let it go. don't you dare let it go. | life, love
a kiss on the beach when there is a full moon is the closest thing to heaven. | kiss, love
and he leans in, so carefully. breathingand not breathing and hearts beatingbetween us and he’s so close, he’s so close and i can’t feel my legs anymore. i can’t feel my fingers or the cold or the emptiness of this room because all i feel is him, everywhere,filling everything and he whispers“please.”he says “please don’t shoot me for this.”and he kisses me.his lips are softer than anything i've ever known, soft like a first snowfall, like biting into cotton candy, like melting and floating and being weightless in water. it’s sweet, it’sso effortlessly sweet.and then it changes.“oh god—”he kisses me again, this time stronger,desperate, like he has to have me, like he’s dying to memorize the feel of my lips against his own. the taste of him is making me crazy; he’s all heat and desire and peppermint and i want more. i've just begun reeling him in, pulling him into me when he breaks away.he’s breathing like he’s lost his mind andhe’s looking at me like something has brokeninside of him, like he’s woken up to find thathis nightmares were just that, that they never existed, that it was all just a bad dream that felt far too real but now he’s awake and he’s safe and everything is going to be okay andi’m falling.i’m falling apart and into his heart and i’m a disaster. | juliette, love, revelation, warner
what should i do about the wild and the tame? the wild heart that wants to be free, and the tame heart that wants to come home. i want to be held. i don't want you to come too close. i want you to scoop me up and bring me home at nights. i don't want to tell you where i am. i want to keep a place among the rocks where no one can find me. i want to be with you. | contradiction, heart, love
life is a series of pulls back and forth... a tension of opposites, like a pull on a rubber band. most of us live somewhere in the middle. a wrestling match...which side win? love wins. love always wins | life, love
to see and feel one's beloved naked for the first time is one of life's pure, irreducible epiphanies. if there is a true religion in the universe, it must include that truth of contact or be forever hollow. to make love to the one true person who deserves that love is one of the few absolute rewards of being a human being, balancing all of the pain, loss, awkwardness, loneliness, idiocy, compromise, and clumsiness that go with the human condition. to make love to the right person makes up for a lot of mistakes. | beauty, connection, happiness, inspiration, love, religion, sex
"he sighed and then focused his eyes right on me. it was like drowning, drowning in seas of green. there was nothing in the world except for those eyes.""i want to kiss you, rose,"" he said softly. ""and i want you to want me too. | adrian-ivashkovn, love, vampire-academy"
love is not the absence of logicbut logic examined and recalculatedheated and curved to fitinside the contours of the heart | logic, love
shall i compare thee to a summer's day? thou art more lovely and more temperate: rough winds do shake the darling buds of may, and summer's lease hath all too short a date: sometimes too hot the eye of heaven shines, and too often is his gold complexion dimm'd: and every fair from fair sometimes declines, by chance or natures changing course untrimm'd; by thy eternal summer shall not fade, nor lose possession of that fair thou owest; nor shall death brag thou wander'st in his shade, when in eternal lines to time thou growest: so long as men can breathe or eyes can see, so long lives this and this gives life to thee. | love, shakespeare, youth
no matter how much you love someone, you still want to have you own way. | control, domination, life, love, relationships
growth in love comes from a place of absence, where the imagination is left to it’s own devices and creates you to be much more then reality would ever allow. | absence, heartbreak, jamie-weise, love, missing-someone, missing-you, missing-you-quotes, passion
"they send a person who can never stay,"" she whispered. ""who can never accept my offer of companionship for more than a little while. they send me a hero i can't help ... just the sort of person i can't help falling in love with.""...as i sailed into the lake i realized the fates really were cruel. they sent calypso someone she couldn't help but love. but it worked both ways. for the rest of my life i would be thinking about her. she would always be my biggest what if. | calypso, cruel, fates, love, percy-jackson, punishment, regret"
it is an absolute human certainty that no one can know his own beauty or perceive a sense of his own worth until it has been reflected back to him in the mirror of another loving, caring human being. | affection, alone, beauty, camaraderie, caring, caring-for-others, closeness, companionship, compassion, connectedness, connection, disconnection, empathy, estrangement, fellowship, friendship, friendship-quotes, hug, hugs, intimacy, isolation, kindness, kindred-spirits, loneliness, love, love-at-first-sight, love-quotes, lovers, loving, loving-someone, mirror, mutuality, partnership, reciprocal, reciprocity, reflected-in-you, relationship, relationship-quotes, relationships, romance, self-belief, self-esteem, self-hatred, self-realization, self-worth, self-worthiness, soul-mate, soulmates, togetherness, touch, twin-flames
‎and yet i have had the weakness, and have still the weakness, to wish you to know with what a sudden mastery you kindled me, heap of ashes that i am, into fire. | love, passion
when i walk, i walk with you. where i go, you're with me always. | faeries, family, fiction, love
"i don't care!"" harry yelled at them, snatching up a lunascope and throwing it into the fireplace. ""i've had enough, i've seen enough, i want out, i want it to end, i don't care anymore!""""you do care,"" said dumbledore. he had not flinched or made a single move to stop harry demolishing his office. his expression was calm, almost detached. ""you care so much you feel as though you will bleed to death with the pain of it. | ache, death, dumbledore, harry-potter, hurt, life, pain"
love is not finding someone to live with. it's finding someone you can't live without. | love
you were on the other side of the world, but i often woke with the scent of you surrounding me. i ached for you, kells. no matter how much kishan thrashed me, it couldn’t diminish the pain of losing you. i’d dream of you and reach out to touch you, but you were always just out of reach. | love, romance
"all the fires of hell could burn for a thousand years and it wouldn't equal what i feel for you in one minute of the day. i love you so much there is no pleasure in it. nothing but torment. because if i could dilute what i feel for you to the mil­lionth part, it would still be enough to kill you. and even if it drives me mad, i would rather see you live in the arms of that cold, soulless bastard than die in mine,"" merripen said to win. | love, merripen, museum, win"
"infantile love follows the principle: ""i love because i am loved."" mature love follows the principle: ""i am loved because i love."" immature love says: ""i love you because i need you."" mature love says: ""i need you because i love you. | art, immaturity, love, maturity, need"
i love you,’ he whispered, and kissed my brow. ‘thorns and all. | feyre, love, tamlin, thorns
you don't know when you're twenty-three.you don't know what it really means to crawl into someone else's life and stay there. you can't see all the ways you're going to get tangled, how you're going to bond skin to skin. how the idea of separating will feel in five years, in ten - in fifteen. when georgie thought about divorce now, she imagined lying side by side with neal on two operating tables while a team of doctors tried to unthread their vascular systems.she didn't know at twenty-three. | divorce, landline, love, marriage
men build too many walls and not enough bridges. | bigotry, bridges, compassion, culture, culture-wars, cultures, empathy, hate, hatred, inspirational, intolerance, love, men, misattributed, misattributed-to-isaac-newton, racism, separation, sympathy, tolerance, understanding, walls
"love is not lovewhich alters when it alteration finds,or bends with the remover to remove.o no, it is an ever-fixed markthat looks on tempests and is never shaken;it is the star to every wand'ring bark,whose worth's unknown, although his height be taken."" | constancy, love, poetry, sacrifice"
it’s hard to communicate anything exactly and that’s why perfect relationships between people are difficult to find. | love, relationships
to be loved but not known is comforting but superficial. to be known and not loved is our greatest fear. but to be fully known and truly loved is, well, a lot like being loved by god. it is what we need more than anything. it liberates us from pretense, humbles us out of our self-righteousness, and fortifies us for any difficulty life can throw at us. | bond, commitment, love, marriage
i prayed for all his dreams to come true. i prayed that i would always be able to connect with him--even if i was no longer on earth. | bethany-church, longing, love, xavier-woods
"some men die for lack of love…some die because of it. think about it."" - daemon | death, love"
i knew i loved you before i met youi think i dreamed you into lifei knew i loved you before i met youi have been waiting all my life | destiny, devotion, love
katniss: i’m coming back into focus when caesar asks him if he has a girlfriend back home. peeta: (gives an unconvincing shake of head.)caesar: handsome lad like you. there must be some special girl. come on, what’s her name?peeta: well, there is this one girl. i’ve had a crush on her ever since i can remember. but i’m pretty sure she didn’t know i was alive until the reaping.caesar: she have another fellow?peeta: i don’t know, but a lot of boys like her.caesar: so, here’s what you do. you win, you go home. she can’t turn you down, eh?peeta: i don’t think it’s going to work out. winning… won’t help in my case.caesar: why ever not?peeta: because… because… she came here with me.caesar: oh, that is a piece of bad luck.peeta: it’s not good.caesar: well, i don’t think any of us can blame you. it’d be hard not to fall for that young lady. she didn’t know?peeta: not until now. | hunger-games, love
it is a defect of god's humor that he directs our hearts everywhere but to those who have a right to them. | lady-croom, love
o, herewill i set up my everlasting rest,and shake the yoke of inauspicious starsfrom this world-wearied flesh. eyes, look your last!arms, take your last embrace! and, lips, o youthe doors of breath, seal with a righteous kissa dateless bargain to engrossing death! | death, kiss, love
"whatever happened to the dragon?""i mustered my primmest tone. ""he has a name, you know.""adrian pulled back and gave me a curious look. ""i didn't know, actually. what'd you decide on?""""hopper."" when adrian laughed, i added, ""best rabbit ever. he'd be proud to know his name is being passed on.""""yes, i'm sure he would. did you name the mustang too?""""i think you mean the ivashkinator.""he stared at me in wonder. ""i told you i loved you, right?""yes,"" i assured him. ""many times. | adrian-ivashkov, bloodlines, cute, funny, humour, love, richelle-mead, romance, romantic, sydney-sage, sydrian, the-indigo-spell"
for millions of years flowers have been producing thorns. for millions of years sheep have been eating them all the same. and it's not serious, trying to understand why flowers go to such trouble to produce thorns that are good for nothing? it's not important, the war between the sheep and the flowers? it's no more serious and more important than the numbers that fat red gentleman is adding up? suppose i happen to know a unique flower, one that exists nowhere in the world except on my planet, one that a little sheep can wipe out in a single bite one morning, just like that, without even realizing what he'd doing - that isn't important? if someone loves a flower of which just one example exists among all the millions and millions of stars, that's enough to make him happy when he looks at the stars. he tells himself 'my flower's up there somewhere...' but if the sheep eats the flower, then for him it's as if, suddenly, all the stars went out. and that isn't important? | flowers, importance, longing, love, protection, roses, sheep, stars, thorns, uniqueness, war
"dimitri's voice snapped my attention back to him. ""that's adrian ivashkov."" he said the name the same way everyone else did. ""yeah, i know.""""this is the second time i've seen you with him.""""yeah,"" i replied glibly. ""we hang out sometimes.""dimitri arched an eyebrow, then jerked his head back toward where we'd come from. ""you hang out in his room a lot?""several retorts popped into my head, and then a golden one took precedence. ""what happens between him and me is none of your business."" i managed a tone very similar to the one he'd used on me when making a similar comment about him and tasha. ""actually, as long as you're at the academy, what you do is my business.""""not my personal life. you don't have any say in that. | dimitri-belikov, love, rose-hathaway, vampire-academy"
you're not lost, kaylee. you can't ever be lost, because i'll always know where you are. and if i'm not there with you, i'm on my way, and nothing standing between us will be standing for very long. | love
if someone does not want me it is not the end of the world. but if i do not want me, the world is nothing but endings. | inspirational, lessons, life, love, perspective, self, thoughts
how many slams in an old screen door? depends how loud you shut it. how many slices in a bread? depends how thin you cut it. how much good inside a day? depends how good you live 'em. how much love inside a friend? depends how much you give 'em. | friend, friendship, good-day, how-many, how-much, life, live-well, love
for many, love is a two-sided coin. it can strengthen or stifle, expand or enfeeble, perfect or pauperize. when love is returned, we soar. we are taken to heights unseen, where it delights, invigorates, and beautifies. when love is spurned, we feel crippled, disconsolate, and bereaved. polish the coin and you will see only requited love on both sides. i was destined to love you and i will belong to you forever. | love, romance
maybe it's just hiding somewhere. or gone on a trip to come home. but falling in love is always a pretty crazy thing. it might appear out of the blue and just grab you. who knows — maybe even tomorrow. | falling-in-love, hiding, love, tomorrow, trip
such short little lives our pets have to spend with us, and they spend most of it waiting for us to come home each day. it is amazing how much love and laughter they bring into our lives and even how much closer we become with each other because of them. | animals, dogs, love, pets
let this hell be our heaven. | heaven, hell, love
love is honesty. love is a mutual respect for one another. | honesty, love, respect
love is a promise, love is a souvenir, once given never forgotten, never let it disappear. | attributed-no-source, love
and next time you're planning to injure yourself to get me attention, just remember that a little sweet talk works wonders. | clary, clary-and-jace, humor, jace, jace-and-clary, love
"blood of my blood,"" he whispered, ""and bone of my bone. you carry me within ye, claire, and ye canna leave me now, no matter what happens, you are mine, always, if ye will it or no, if ye want me or nay. mine, and i wilna let ye go. | love, marriage, romance, vows"
making love to me is amazing. wait, i meant: making love, to me, is amazing. the absence of two little commas nearly transformed me into a sex god.  | absence, amazement, amazing, commas, editing, funny, god, humor, love, lover, relationships, sex, sex-god, transform, transformation, word-junkies, writer, writing
i've never forgotten him. dare i say i miss him? i do. i miss him. i still see him in my dreams. they are nightmares mostly, but nightmares tinged with love. such is the strangeness of the human heart. i still cannot understand how he could abandon me so unceremoniously, without any sort of goodbye, without looking back even once. the pain is like an axe that chops my heart.  | goodbye, heart, love, pain
did you know i always thought you were braver than me? did you ever guess that that was why i was so afraid? it wasn't that i only loved some of you. but i wondered if you could ever love more than some of me. i knew i'd miss you. but the surprising thing is, you never leave me. i never forget a thing. every kind of love, it seems, is the only one. it doesn't happen twice. and i never expected that you could have a broken heart and love with it too, so much that it doesn't seem broken at all. i know young people look at me and think my youth seems so far away, but it's all around me, and you're all around me. tiger lily, do you think magic exists if it can be explained? i can explain why i loved you, i can explain the theory of evolution that tells me why mermaids live in neverland and nowhere else. but it still feels magic. the lost boys all stood at our wedding. does it seem odd to you that they could have stood at a wedding that wasn't yours and mine? it does to me. and i'm sorry for it, and for a lot, and i also wouldn't change it. it is so quiet here. even with all the trains and the streets and the people. it's nothing like the jungle. the boys have grown. everything has grown. do you think you will ever grow? i hope not. i like to think that even if i change and fade away, some other people won't. i like to think that one day after i die, at least one small particle of me - of all the particles that will spread everywhere - will float all the way to neverland, and be part of a flower or something like that, like that poet said, the one that your tik tok loved. i like to think that nothing's final, and that everyone gets to be together even when it looks like they don't, that it all works out even when all the evidence seems to say something else, that you and i are always young in the woods, and that i'll see you sometime again, even if it's not with any kind of eyes i know of or understand. i wouldn't be surprised if that is the way things go after all - that all things end happy. even for you and tik tok. and for you and me.always, your peterp.s. please give my love to tink. she was always such a funny little bug. | beautiful, growing-up, letters, love, peter-pan, remembering, tiger-lily
sensitive people usually love deeply and hate deeply. they don't know any other way to live than by extremes because thier emotional theromastat is broken. | adhd, anger, bipolar, disorders, extremes, feelings, hate, illness, love, mental-disorders, ocd, out-of-balance, sensitiveness
i want him to love me as much as i love him. | elena-gilbert, hope, love, romance, stefan-salvatore
to become vegetarian is to step into the stream which leads to nirvana. | life, love, misattributed, nature, vegan-vegetarian
often it is the most deserving people who cannot help loving those who destroy them. | love
it’s strange how dreams get under your skin and give your heart a test for what’s real and what’s imaginary. | dreams, imagination, inspirational, jason-mraz, life, love, test, truth
when love first happens, the individuals are giving each other energy unconsciously and both people feel buoyant and elated. that's the incredible high we call being ‘in love.’ unfortunately, once they expect this feeling to come from another person, they cut themselves off from the energy in the universe and begin to rely even more on the energy from each other--only now there doesn’t seem to be enough and so they stop giving each other energy and fall back into their dramas in an attempt to control each other and force the other’s energy their way. | energy, love
love, like everything else in life, should be a discovery, an adventure, and like most adventures, you don’t know you’re having one until you’re right in the middle of it. | adventure, adventures, adventures-in-love, catholic-author, discovery, experiences, first-love, life, life-changing, life-experience, life-lesson, love, romance, romantic, self-discovery, true-love
well, it seems to me that the best relationships - the ones that last - are frequently the ones that are rooted in friendship. you know, one day you look at the person and you see something more than you did the night before. like a switch has been flicked somewhere. and the person who was just a friend is... suddenly the only person you can ever imagine yourself with. | friendship, love, men, relationships, women
tears shed for another person are not a sign of weakness. they are a sign of a pure heart. | grief, grieving, hope, loss, love, pain, sadness, strength, tears
books are to me as homemade tattoos are to an inmate. can't get enough of them. | books, humor, love, tattoos
the highest function of love is that it makes the loved one a unique and irreplaceable being. | logic, love
the difference between the love of a man and the love of a woman is that a man will always give reasons for loving, but a woman gives no reasons for loving. | gender-stereotypes, love, men-and-women, reasons
more smiling, less worrying. more compassion, less judgment. more blessed, less stressed. more love, less hate. | authentic-living, being-positive, blessed, compassion, hate, inspiration, inspirational, inspirational-quotes, judgment, less-more, life, life-purpose, life-quotes, living, love, mind, motivation, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile, smiles, spirituality, stress, stressed, worry, worrying
because love, love is never finished. it circles and circles, the memories out of order and not always complete. | love
love looks not with the eyes, but with the mind,and therefore is winged cupid painted blind. | love
where there is great love, there are always miracles. | love
to love. to be loved. to never forget your own insignificance. to never get used to the unspeakable violence and the vulgar disparity of life around you. to seek joy in the saddest places. to pursue beauty to its lair. to never simplify what is complicated or complicate what is simple. to respect strength, never power. above all, to watch. to try and understand. to never look away. and never, never to forget. | life
it is not a lack of love, but a lack of friendship that makes unhappy marriages. | friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage
when all is said and done, the weather and love are the two elements about which one can never be sure. | love, uncertainty, weather
i choose to love you in silence…for in silence i find no rejection,i choose to love you in loneliness…for in loneliness no one owns you but me,i choose to adore you from a distance…for distance will shield me from pain,i choose to kiss you in the wind…for the wind is gentler than my lips,i choose to hold you in my dreams…for in my dreams, you have no end. | love, love-quotes
i find the best way to love someone is not to change them, but instead, help them reveal the greatest version of themselves. | be-yourself, change, choices, compassion, greatest-version, happiness, helping, love, relationships, success
such a little thing really, a kiss... most people don't give it a moment's consideration. they kiss on meeting, they kiss on parting, that simple touching of flesh is taken entirely for granted as a basic human right. | kiss, love
for the two of us, home isn't a place. it is a person. and we are finally home. | home, love, relationships, touching
if you love somebody, let them go, for if they return, they were always yours. if they don't, they never were. | life, love, romance
there's only one thing that can heal the heart... only one... it's love, gaara. | gaara, heal, heart, love, naruto, one
if love be rough with you, be rough with love. prick love for pricking and you beat love down. | love
but you've slipped under my skin, invaded my blood and seized my heart. | love, maria-v-snyder, poison-study, valek
love me sweet with all thou art feeling, thinking, seeing; love me in the lightest part, love me in full being. | love
when we are in love, we are convinced nobody else will do. but as time goes, others do do, and often do do, much much better. | breaking-up, breakups, heartbreak, in-love, jamie-weise, love, love-story, passion, time-heals, trains, writing
sometimes i get real lonely sleeping with you. | loneliness, love, relationships, sex
i know my heart will never be the samebut i'm telling myself i'll be okay | breakups, couples, heartbreak, love, relationships
a kiss may ruin a human life | kiss, life, love
two things you will never have to chase: true friends & true love. | chasing, friends, friendship, knowing-your-worth, love, not-settling, positive-thinking, self-worth, stop-the-chase, the-single-woman, true-friends, true-love
oh, lizzy! do anything rather than marry without affection. | affection, duty, feelings, integrity, joy, love, marriage, matrimony, romance, self-determination
so long as we love we serve; so long as we are loved by others, i would almost say that we are indispensable; and no man is useless while he has a friend. | friendship, love, service
i think i fell in love with her, a little bit. isn't that dumb? but it was like i knew her. like she was my oldest, dearest friend. the kind of person you can tell anything to, no matter how bad, and they'll still love you, because they know you. i wanted to go with her. i wanted her to notice me. and then she stopped walking. under the moon, she stopped. and looked at us. she looked at me. maybe she was trying to tell me something; i don't know. she probably didn't even know i was there. but i'll always love her. all my life. | death, friends, love
you had to know a person well to make them laugh like that. | friendship, laughter, love
you think i wanted to fall for you? i stayed away from you! i gave him the chance to be with you! but there’s another part of me that asks what if? what if you’re not supposed to be with ren? what if you were supposed to be the answer to my prayers? not his! | love, romance
the greatest disease in the west today is not tb or leprosy; it is being unwanted, unloved, and uncared for. we can cure physical diseases with medicine, but the only cure for loneliness, despair, and hopelessness is love. there are many in the world who are dying for a piece of bread but there are many more dying for a little love. the poverty in the west is a different kind of poverty -- it is not only a poverty of loneliness but also of spirituality. there's a hunger for love, as there is a hunger for god. | inspiration, love, medicine, poverty, spirituality, uncaring
i'm telling you this for one reason and one reason only: no matter how sure you are of someone's love, it's always nice to hear it. | affection, affirmation, confirmation, love, lovers, nice, reason
from the first day i met her, she was the only woman to me. every day of that voyage i loved her more, and many a time since have i kneeled down in the darkness of the night watch and kissed the deck of that ship because i knew her dear feet had trod it. she was never engaged to me. she treated me as fairly as ever a woman treated a man. i have no complaint to make. it was all love on my side, and all good comradeship and friendship on hers. when we parted she was a free woman, but i could never again be a free man. | freedom, homes, love, love-at-first-sight, obsession, sadness, sherlock-holmes, slavery
her heart had grown so familiar to the pain of life without him, that to respond now seemed too large a pleasure she could not endure. if pain was love, then she loved fiercely. yet knew she could not be near that boy again. | breakup, jamie-weise, love, missing-you, passionate-living, romance
on the surface, i was calm: in secret, without really admitting it, i was waiting for something. her return? how could i have been waiting for that? we all know that we are material creatures, subject to the laws of physiology and physics, and not even the power of all our feelings combined can defeat those laws. all we can do is detest them. the age-old faith of lovers and poets in the power of love, stronger than death, that finis vitae sed non amoris, is a lie, useless and not even funny. so must one be resigned to being a clock that measures the passage of time, now out of order, now repaired, and whose mechanism generates despair and love as soon as its maker sets it going? are we to grow used to the idea that every man relives ancient torments, which are all the more profound because they grow comic with repetition? that human existence should repeat itself, well and good, but that it should repeat itself like a hackneyed tune, or a record a drunkard keeps playing as he feeds coins into the jukebox...must i go on living here then, among the objects we both had touched, in the air she had breathed? in the name of what? in the hope of her return? i hoped for nothing. and yet i lived in expectation. since she had gone, that was all that remained. i did not know what achievements, what mockery, even what tortures still awaited me. i knew nothing, and i persisted in the faith that the time of cruel miracles was not past. | love, science-fiction, solaris
i really don't see anything romantic in proposing. it is very romantic to be in love. but there is nothing romantic about a definite proposal. why, one may be accepted. one usually is, i believe. then the excitement is all over. the very essence of romance is uncertainty. if ever i get married, i'll certainly try to forget the fact. | humor, life, love, marriage
words can never fully say what we want them to say, for they fumble, stammer, and break the best porcelain. the best one can hope for is to find along the way someone to share the path, content to walk in silence, for the heart communes best when it does not try to speak. | inspirational, love
he’s dozed off again, but i kiss him awake, which seems to startle him. then he smiles as if he’d be happy to lie there gazing at me forever. | forever, gaze, happy, hunger-games, kiss, love, smile
a perfect person is easy to love. but when somebody likes all your imperfections, well, that's when you know they really mean it. | humor, love, teens
maybe sometimes we can only see the truth about ourselves if someone shows us where to look. | love, mara-dyer, retribution-of-mara-dyer, romance
most of us must learn to love people and use things rather than loving things and using people. | being-human, happiness, human, human-nature, humanism, humanity, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quote, inspirational-quotes, inspire, inspiring, learning, life, life-and-living, life-lessons, life-philosophy, life-quotes, living, love, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking
"no."" magnus strode toward him. ""i didn't call you because i'm tired of you only wanting me around when you need something. i'm tired of watching you be in love with someone else-someone, incidentally, who will never love you back. not the way i do. | love, unrequited-love"
she looks at the swings, and i can see she’s imagining what they’d look like if the kids weren’t there. the guilt of this holds her down momentarily. it appears to be there constantly. never far away, despite her love for them.i realize that nothing belongs to her anymore and she belongs to everything. | guilt, life, love
everybody has a home team: it’s the people you call when you get a flat tire or when something terrible happens. it’s the people who, near or far, know everything that’s wrong with you and love you anyways. these are the ones who tell you their secrets, who get themselves a glass of water without asking when they’re at your house. these are the people who cry when you cry. these are your people, your middle-of-the-night, no-matter-what people. | emotions, home, hope, love, people
pride had kept her running when love had betrayed her. | betrayal, love, pride
your inner strength is your outer foundation | inspirational, love, motivation, peace, personal-development, personal-growth, quotes, realization, self, self-discovery, self-help, spiritual-growth, upliftment
you were the missing piece of my soul, the breath in my lungs, and the blood in my veins. | andrew-parrish, letter, love
can he love her? can the soul really be satisfied with such polite affections? to love is to burn - to be on fire, like juliet or guinevere or eloise... | emotions, fire, love, politeness
after all, what is happiness? love, they tell me. but love doesn't bring and never has brought happiness. on the contrary, it's a constant state of anxiety, a battlefield; it's sleepless nights, asking ourselves all the time if we're doing the right thing. real love is composed of ecstasy and agony. | anxiety, happiness, love, torment
someone once wrote that a novel should deliver a series of small astonishments. i get the same thing spending an hour with you. | books, love
but that afternoon he asked himself, with his infinite capacity for illusion, if such pitiless indifference might not be a subterfuge for hiding the torments of love. | illusion, indifference, love, unrequited-love
"i'd sell my soul to have you. in my whole life, you'll always be what i wanted most.""~ hardy cates | hardy-cates, liberty-jones, love, sugar-daddy"
no matter how bad your heart is broken, the world doesn't stop for your grief. | grief, heart, heartbreak, love
these woods are lovely, dark and deep,but i have promises to keep,and miles to go before i sleep,and miles to go before i sleep. | life
do you think i'm pretty?i think you're beautifulbeautiful?you are so beautiful, it hurts sometimes. | beauty, love
i heard what you said. i’m not the silly romantic you think. i don’t want the heavens or the shooting stars. i don’t want gemstones or gold. i have those things already. i want…a steady hand. a kind soul. i want to fall asleep, and wake, knowing my heart is safe. i want to love, and be loved. | love, romance
i have loved to the point of madness; that which is called madness, that which to me, is the only sensible way to love. | love
and now i know why they invented words for love, why they had to: it's the only thing that can come close to describing what i feel in that moment, the baffling mixture of pain and pleasure and fear and joy, all running sharply through me at once. | love
the only way love can last a lifetime is if it's unconditional. the truth is this: love is not determined by the one being loved but rather by the one choosing to love. | agape, love, marriage, unconditional-love
love didn't make you weak, it made you stronger. | love
everything happens for a reason and, something better will come along for me! | inspirational, love
suddenly it was too hard to be in his presence, too painful to know that he would belong to someone else. | love
people die, i think, but your relationship with them doesn't. it continues and is ever-changing. | change, death, forever, life, love, relationships
a love story can never be about full possession. the happy marriage, the requited love, the desire that never dims--these are lucky eventualites but they aren't love stories. love stories depend on disappointment, on unequal births and feuding families, on matrimonial boredom and at least one cold heart. love stories, nearly without exception, give love a bad name.we value love not because it's stronger than death but because it's weaker. say what you want about love: death will finish it. you will not go on loving in the grave, not in any physical way that will at all resemble love as we know it on earth. the perishable nature of love is what gives love its importance in our lives. if it were endless, if it were on tap, love wouldn't hit us the way it does.and we certainly wouldn't write about it. | love
